City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nkowakowa,-23.8878,30.2871,17.93,70,0,1.18,ZA,1684303743
1,alyangula,-13.8483,136.4192,26.62,57,64,7.03,AU,1684303743
2,san cristobal,7.7669,-72.225,19.55,91,100,0.65,VE,1684303743
3,souillac,-20.5167,57.5167,26.76,68,0,1.54,MU,1684303744
4,berbera,10.4396,45.0143,33.19,59,34,1.55,SO,1684303744
5,chapais,49.7834,-74.8492,-3.12,73,88,3.76,CA,1684303744
6,nikolskoye,59.7035,30.7861,16.62,70,88,5.25,RU,1684303744
7,arraial do cabo,-22.9661,-42.0278,22.59,69,49,9.27,BR,1684303460
8,pangnirtung,66.1451,-65.7125,-11.32,75,8,3.25,CA,1684303745
9,georgetown,5.4112,100.3354,32.96,66,20,4.63,MY,1684303745
10,sao marcos,-28.9711,-51.0681,9.84,90,0,1.49,BR,1684303740
11,rikitea,-23.1203,-134.9692,23.68,70,30,3.0,PF,1684303746
12,mahebourg,-20.4081,57.7,27.36,72,5,3.69,MU,1684303746
13,saskylakh,71.9167,114.0833,-6.98,83,23,1.83,RU,1684303747
14,severomuysk,56.1481,113.4267,2.7,47,65,1.47,RU,1684303747
15,ushuaia,-54.8,-68.3,4.81,75,40,5.14,AR,1684303747
16,barrow,71.2906,-156.7887,-6.99,79,75,6.69,US,1684303748
17,tura,25.5198,90.2201,33.29,41,1,3.0,IN,1684303748
18,butaritari,3.0707,172.7902,28.66,77,74,5.54,KI,1684303748
19,tuktoyaktuk,69.4541,-133.0374,-2.69,90,100,4.69,CA,1684303748
20,port alfred,-33.5906,26.891,15.1,91,69,1.34,ZA,1684303748
21,mataura,-46.1927,168.8643,6.7,97,100,2.01,NZ,1684303749
22,kavieng,-2.5744,150.7967,28.57,80,35,6.56,PG,1684303749
23,albany,42.6001,-73.9662,9.21,74,98,3.12,US,1684303722
24,avarua,-21.2078,-159.775,21.03,78,100,1.54,CK,1684303749
25,ketchikan,55.3422,-131.6461,14.26,77,0,2.57,US,1684303506
26,tezu,27.9167,96.1667,24.58,69,96,2.0,IN,1684303750
27,cape town,-33.9258,18.4232,15.21,87,20,3.6,ZA,1684303575
28,san quintin,30.4833,-115.95,15.18,89,34,4.26,MX,1684303750
29,coquimbo,-29.9533,-71.3436,16.85,77,100,1.03,CL,1684303750
30,lawrence,38.9717,-95.2353,15.43,85,45,1.34,US,1684303711
31,hobart,-42.8794,147.3294,12.92,62,20,2.57,AU,1684303751
32,busselton,-33.65,115.3333,22.53,42,0,1.06,AU,1684303757
33,maksatikha,57.797,35.8825,18.06,52,26,4.71,RU,1684303757
34,soyo,-6.1349,12.3689,25.51,88,67,3.13,AO,1684303758
35,torbay,47.6666,-52.7314,7.31,88,100,2.24,CA,1684303758
36,dingle,10.9995,122.6711,31.84,65,69,1.87,PH,1684303758
37,atuona,-9.8,-139.0333,27.52,78,56,8.52,PF,1684303758
38,naze,28.3667,129.4833,21.33,66,97,6.61,JP,1684303759
39,hilo,19.7297,-155.09,20.85,96,100,3.6,US,1684303679
40,vila velha,-20.3297,-40.2925,19.97,80,0,3.09,BR,1684303759
41,new norfolk,-42.7826,147.0587,12.72,58,60,1.34,AU,1684303759
42,ornskoldsvik,63.2909,18.7153,7.53,93,75,5.14,SE,1684303759
43,chuy,-33.6971,-53.4616,12.71,94,0,3.18,UY,1684303760
44,hervey bay,-25.2986,152.8535,22.23,62,0,7.97,AU,1684303760
45,alice springs,-23.7,133.8833,20.75,26,0,6.17,AU,1684303760
46,jamestown,42.097,-79.2353,9.77,93,75,3.09,US,1684303724
47,bluff,-46.6,168.3333,8.74,80,100,6.57,NZ,1684303761
48,omboue,-1.5746,9.2618,25.49,92,99,3.13,GA,1684303761
49,waingapu,-9.6567,120.2641,27.93,63,33,4.35,ID,1684303761
50,dikson,73.5069,80.5464,-2.86,93,100,8.83,RU,1684303761
51,mecca,21.4267,39.8261,34.34,31,0,1.03,SA,1684303570
52,punta arenas,-53.15,-70.9167,4.06,75,0,8.23,CL,1684303762
53,grindavik,63.8424,-22.4338,8.26,100,100,4.12,IS,1684303762
54,horadiz,39.4488,47.3353,19.36,50,1,2.51,AZ,1684303762
55,norman wells,65.282,-126.8329,15.6,35,0,1.3,CA,1684303763
56,kapaa,22.0752,-159.319,23.18,84,100,7.72,US,1684303763
57,peto,20.1333,-88.9167,21.61,94,37,0.71,MX,1684303763
58,saint-philippe,-21.3585,55.7679,28.77,75,5,1.29,RE,1684303763
59,esperance,-33.8667,121.9,19.33,56,1,2.91,AU,1684303524
60,bredasdorp,-34.5322,20.0403,12.63,80,90,3.45,ZA,1684303764
61,mandalgovi,45.7625,106.2708,14.45,18,0,5.83,MN,1684303764
62,staunton,38.1496,-79.0717,17.51,86,100,0.0,US,1684303598
63,vaini,-21.2,-175.2,23.09,73,20,4.63,TO,1684303765
64,leningradskiy,69.3833,178.4167,-1.84,83,15,3.35,RU,1684303770
65,basco,20.4487,121.9702,28.27,80,99,6.9,PH,1684303771
66,olafsvik,64.8945,-23.7142,7.46,96,100,5.04,IS,1684303771
67,chincholi,17.4667,77.4333,37.42,18,0,3.27,IN,1684303771
68,evensk,61.95,159.2333,3.01,71,87,1.45,RU,1684303772
69,pozega,45.3403,17.6853,13.2,93,86,1.65,HR,1684303772
70,samarai,-10.6167,150.6667,28.25,79,38,5.57,PG,1684303772
71,talas,38.6908,35.5538,18.37,45,0,1.03,TR,1684303772
72,stanislav,46.5691,32.1478,18.44,57,83,5.62,UA,1684303773
73,port hardy,50.6996,-127.4199,11.1,100,75,1.03,CA,1684303773
74,belmonte,-15.8631,-38.8828,23.8,83,82,0.46,BR,1684303773
75,bambous virieux,-20.3428,57.7575,27.34,72,4,3.98,MU,1684303773
76,thompson,55.7435,-97.8558,3.09,93,100,4.12,CA,1684303774
77,dongsheng,39.8161,109.9776,19.16,21,100,7.66,CN,1684303594
78,agirish,61.9247,63.0231,14.73,33,100,2.92,RU,1684303774
79,kalmunai,7.4167,81.8167,32.07,62,99,4.31,LK,1684303774
80,puerto ayora,-0.7393,-90.3518,25.86,91,82,2.68,EC,1684303774
81,asau,46.4333,26.4,13.49,56,100,1.5,RO,1684303775
82,minna,9.6139,6.5569,25.65,83,89,1.48,NG,1684303775
83,formosa,-26.1775,-58.1781,17.99,72,0,4.12,AR,1684303486
84,darhan,49.4867,105.9228,17.57,24,63,3.84,MN,1684303775
85,santa vitoria do palmar,-33.5189,-53.3681,13.16,95,0,3.29,BR,1684303724
86,puerto escondido,15.85,-97.0667,28.62,73,4,3.39,MX,1684303776
87,vao,-22.6667,167.4833,24.19,74,19,5.55,NC,1684303776
88,lebu,-37.6167,-73.65,9.66,84,22,2.77,CL,1684303776
89,ponta do sol,32.6667,-17.1,18.35,71,15,3.08,PT,1684303776
90,hermanus,-34.4187,19.2345,11.56,80,81,3.72,ZA,1684303777
91,qaanaaq,77.484,-69.3632,-4.07,83,100,3.94,GL,1684303777
92,ilulissat,69.2167,-51.1,-0.99,86,14,1.03,GL,1684303777
93,villa union,23.2,-106.2333,24.95,100,0,0.0,MX,1684303777
94,kyabe,9.4515,18.9449,28.78,59,96,3.68,TD,1684303778
95,aklavik,68.2191,-135.0107,0.19,89,100,3.33,CA,1684303778
96,kattivakkam,13.2167,80.3167,37.05,80,22,7.11,IN,1684303778
97,severo-yeniseyskiy,60.3725,93.0408,1.69,95,100,5.69,RU,1684303778
